key,source,url,inspection_scope
fourier,src/Kernel/FourierCoefficients.wl,https://github.com/VladimirReshetnikov/Asymptotic/blob/7d1bc832895cc90a9b2a978b7b7684acab908bd2/src/Kernel/FourierCoefficients.wl,"Selected coefficient algebra, recurrence, and constructor ranges"
mathicsguide,docs/Mathics/COMPATIBILITY.md,https://github.com/VladimirReshetnikov/Asymptotic/blob/7d1bc832895cc90a9b2a978b7b7684acab908bd2/docs/Mathics/COMPATIBILITY.md,"Full compatibility guide, evidence boundaries and runtime target"
mathicscallables,docs/Mathics/CALLABLES.md,https://github.com/VladimirReshetnikov/Asymptotic/blob/7d1bc832895cc90a9b2a978b7b7684acab908bd2/docs/Mathics/CALLABLES.md,Full callable and affine branch scope
mathicscompat,src/Kernel/MathicsCompatibility.wl,https://github.com/VladimirReshetnikov/Asymptotic/blob/7d1bc832895cc90a9b2a978b7b7684acab908bd2/src/Kernel/MathicsCompatibility.wl,Full scoped helpers and namespace bootstrap
mathicsalgebra,src/Kernel/MathicsAlgebra.wl,https://github.com/VladimirReshetnikov/Asymptotic/blob/7d1bc832895cc90a9b2a978b7b7684acab908bd2/src/Kernel/MathicsAlgebra.wl,"Full coefficient, trigonometric and Take adapters"
mathicsassumptions,src/Kernel/MathicsAssumptions.wl,https://github.com/VladimirReshetnikov/Asymptotic/blob/7d1bc832895cc90a9b2a978b7b7684acab908bd2/src/Kernel/MathicsAssumptions.wl,Full finite realness and sign proof layer
mathicssimplify,src/Kernel/MathicsSimplification.wl,https://github.com/VladimirReshetnikov/Asymptotic/blob/7d1bc832895cc90a9b2a978b7b7684acab908bd2/src/Kernel/MathicsSimplification.wl,"Full simplification, Series and Limit adapters"
mathicsbranches,src/Kernel/MathicsInverseBranches.wl,https://github.com/VladimirReshetnikov/Asymptotic/blob/7d1bc832895cc90a9b2a978b7b7684acab908bd2/src/Kernel/MathicsInverseBranches.wl,"Full polynomial, affine interval and eventual proof adapter"
mathicscalls,src/Kernel/MathicsCalls.wl,https://github.com/VladimirReshetnikov/Asymptotic/blob/7d1bc832895cc90a9b2a978b7b7684acab908bd2/src/Kernel/MathicsCalls.wl,Full held Extract adapter
mathicstaylor,src/Kernel/MathicsTaylor.wl,https://github.com/VladimirReshetnikov/Asymptotic/blob/7d1bc832895cc90a9b2a978b7b7684acab908bd2/src/Kernel/MathicsTaylor.wl,Full bounded defining-series adapter
mathicsspecial,src/Kernel/MathicsSpecialFunctions.wl,https://github.com/VladimirReshetnikov/Asymptotic/blob/7d1bc832895cc90a9b2a978b7b7684acab908bd2/src/Kernel/MathicsSpecialFunctions.wl,Full growing LogGamma Stirling adapter
mathicscore,src/Kernel/MathicsCoreFunctions.wl,https://github.com/VladimirReshetnikov/Asymptotic/blob/7d1bc832895cc90a9b2a978b7b7684acab908bd2/src/Kernel/MathicsCoreFunctions.wl,Full selected principal Lambert normalization and deadline exceptions
mathicstime,src/Kernel/MathicsTimeBudget.wl,https://github.com/VladimirReshetnikov/Asymptotic/blob/7d1bc832895cc90a9b2a978b7b7684acab908bd2/src/Kernel/MathicsTimeBudget.wl,Full private proof-time multiplier
runner,validation/run_mathics_tests.py,https://github.com/VladimirReshetnikov/Asymptotic/blob/7d1bc832895cc90a9b2a978b7b7684acab908bd2/validation/run_mathics_tests.py,Full exact upstream file retrieved and executed against mock peer
workflow,.github/workflows/mathics.yml,https://github.com/VladimirReshetnikov/Asymptotic/blob/7d1bc832895cc90a9b2a978b7b7684acab908bd2/.github/workflows/mathics.yml,Full workflow inspected; no CI run observed
mathicsposition,Mathics3 10.0.1: mathics/builtin/list/eol.py,https://github.com/Mathics3/mathics-core/blob/10.0.1/mathics/builtin/list/eol.py,Position class inspected in lines 1220-1440 range
mathicsproductlog,Mathics3 10.0.1: mathics/builtin/specialfns/expintegral.py,https://github.com/Mathics3/mathics-core/blob/10.0.1/mathics/builtin/specialfns/expintegral.py,"Full module inspected, including ProductLog class"
wlseries,Wolfram Language: Series,https://reference.wolfram.com/language/ref/Series.html,"Official documentation, retrieved during review; not a runtime comparison"
wlseriesdata,Wolfram Language: SeriesData,https://reference.wolfram.com/language/ref/SeriesData.html,"Official documentation, retrieved during review; not a runtime comparison"
wlinverseseries,Wolfram Language: InverseSeries,https://reference.wolfram.com/language/ref/InverseSeries.html,"Official documentation, retrieved during review; not a runtime comparison"
wlasymptotic,Wolfram Language: Asymptotic,https://reference.wolfram.com/language/ref/Asymptotic.html,"Official documentation, retrieved during review; not a runtime comparison"
wlasymptoticsolve,Wolfram Language: AsymptoticSolve,https://reference.wolfram.com/language/ref/AsymptoticSolve.html,"Official documentation, retrieved during review; not a runtime comparison"
wldiscrete,Wolfram Language: DiscreteAsymptotic,https://reference.wolfram.com/language/ref/DiscreteAsymptotic.html,"Official documentation, retrieved during review; not a runtime comparison"
wlcoefflist,Wolfram Language: CoefficientList,https://reference.wolfram.com/language/ref/CoefficientList.html,"Official documentation, retrieved during review; not a runtime comparison"
wlposition,Wolfram Language: Position,https://reference.wolfram.com/language/ref/Position.html,"Official documentation, retrieved during review; not a runtime comparison"
wllimit,Wolfram Language: Limit,https://reference.wolfram.com/language/ref/Limit.html,"Official documentation, retrieved during review; not a runtime comparison"
jsonrfc,RFC 8259: The JavaScript Object Notation (JSON) Data Interchange Format,https://www.rfc-editor.org/rfc/rfc8259.html,Section 6 numeric grammar
